Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
280280 INDIAROBA;2;-;-;-;-;-;-;1;-;-;-;3
280290 ITABAIANA;17;1;-;-;1;2;-;2;-;-;7;30
280300 ITABAIANINHA;40;-;1;-;-;-;2;-;-;-;7;50
280320 ITAPORANGA D'AJUDA;13;-;-;-;-;-;-;2;-;-;-;15
280340 JAPOATA;3;-;-;-;1;-;-;1;-;-;1;6
280350 LAGARTO;3;1;14;1;8;2;3;16;4;4;3;59
280360 LARANJEIRAS;4;-;-;1;-;-;-;1;-;-;-;6
280370 MACAMBIRA;-;-;-;1;-;-;-;-;-;-;-;1
280380 MALHADA DOS BOIS;1;-;-;-;-;-;-;-;-;-;-;1
280390 MALHADOR;3;-;2;-;6;1;2;2;-;-;3;19
280410 MOITA BONITA;2;-;-;-;-;-;-;-;-;-;-;2
280420 MONTE ALEGRE DE SERGIPE;3;-;-;-;1;-;-;-;-;1;-;5
280440 NEOPOLIS;18;-;-;-;-;-;-;-;-;1;1;20
280450 NOSSA SENHORA DA GLORIA;197;-;-;-;1;-;1;2;-;-;30;231
280460 NOSSA SENHORA DAS DORES;2;-;-;1;-;-;-;-;-;-;1;4
280480 NOSSA SENHORA DO SOCORRO;9;2;14;12;46;34;98;133;4;5;25;382
280540 POCO REDONDO;-;-;-;-;-;-;-;-;-;-;1;1
280550 POCO VERDE;2;-;1;-;-;-;-;-;-;-;-;3
280560 PORTO DA FOLHA;1;-;3;1;-;1;1;2;1;7;-;17
280570 PROPRIA;10;-;-;-;-;-;-;-;-;-;1;11
280580 RIACHAO DO DANTAS;6;-;-;-;-;-;-;1;-;-;-;7
280590 RIACHUELO;1;-;-;-;-;-;-;-;-;-;-;1
280620 SALGADO;28;-;-;-;-;-;-;-;-;-;3;31
280630 SANTA LUZIA DO ITANHY;-;-;2;-;1;-;-;-;-;-;-;3
280650 SANTA ROSA DE LIMA;2;-;-;-;-;-;1;-;-;1;-;4
280660 SANTO AMARO DAS BROTAS;-;-;-;-;1;-;-;1;-;-;1;3
280670 SAO CRISTOVAO;173;1;5;-;6;2;10;18;3;3;19;240
280680 SAO DOMINGOS;3;1;1;1;2;2;-;5;-;-;-;15
280700 SAO MIGUEL DO ALEIXO;-;-;-;2;-;1;1;-;-;-;-;4
280710 SIMAO DIAS;11;-;6;2;3;1;2;10;2;-;-;37
280720 SIRIRI;5;-;-;-;3;-;2;2;-;-;2;14
280740 TOBIAS BARRETO;1;-;-;-;-;-;-;-;-;-;-;1
280750 TOMAR DO GERU;-;-;-;1;-;-;-;-;-;-;-;1
280760 UMBAUBA;12;1;1;1;5;1;1;1;-;-;7;30
290020 ABARE;69;8;12;2;23;10;25;45;2;11;15;222
290030 ACAJUTIBA;2;-;1;-;-;-;-;1;-;-;1;5
290035 ADUSTINA;2;-;-;1;-;-;-;-;-;-;1;4
290040 AGUA FRIA;2;-;-;-;-;-;1;-;-;1;1;5
290050 ERICO CARDOSO;52;2;15;8;9;7;15;26;3;4;7;148
290070 ALAGOINHAS;163;1;5;4;12;6;9;36;5;10;18;269
290080 ALCOBACA;85;-;3;3;5;1;1;3;1;-;9;111
290090 ALMADINA;53;-;2;-;-;-;-;-;1;3;8;67
290115 AMERICA DOURADA;43;-;1;-;-;-;1;-;-;1;7;53
290120 ANAGE;1;-;-;-;-;-;2;-;-;1;-;4
290130 ANDARAI;2;-;-;-;-;-;-;-;-;-;-;2
290135 ANDORINHA;-;-;-;-;-;1;-;1;-;-;1;3
290140 ANGICAL;7;-;-;-;1;-;-;1;-;1;-;10
290150 ANGUERA;1;-;-;-;-;-;-;-;-;-;1;2
290160 ANTAS;8;-;-;-;-;1;-;-;-;-;-;9
290180 ANTONIO GONCALVES;32;1;2;1;-;-;-;5;-;1;7;49
290190 APORA;3;-;-;-;-;-;-;1;-;-;1;5
290195 APUAREMA;218;-;3;2;10;3;6;10;1;4;40;297
290200 ARACATU;1;-;-;-;-;-;-;1;-;-;-;2
290205 ARACAS;4;-;-;-;-;-;-;-;-;-;-;4
290210 ARACI;7;-;-;1;-;-;-;-;-;1;-;9
290240 AURELINO LEAL;2;-;-;-;-;-;-;-;-;-;-;2
290250 BAIANOPOLIS;-;-;2;4;-;2;-;2;-;1;-;11
290260 BAIXA GRANDE;2;-;1;-;1;1;-;-;-;3;1;9
290270 BARRA;4;-;-;1;1;1;1;1;-;-;1;10
290280 BARRA DA ESTIVA;1;-;3;-;-;-;-;2;-;-;1;7
290290 BARRA DO CHOCA;2;-;1;-;-;-;1;-;-;1;-;5
290300 BARRA DO MENDES;41;-;4;-;6;1;7;7;1;4;8;79
290310 BARRA DO ROCHA;-;-;-;-;-;-;-;-;-;-;1;1
290320 BARREIRAS;292;-;10;17;19;15;16;44;7;14;45;479
290323 BARRO ALTO;40;-;2;1;4;-;1;1;-;1;4;54
290327 BARROCAS;6;-;-;-;2;1;1;-;-;1;3;14
290330 BARRO PRETO;96;1;2;-;1;-;1;1;-;1;16;119
290340 BELMONTE;11;-;192;4;1;2;4;5;2;6;19;246
290350 BELO CAMPO;1;1;-;-;-;1;-;2;-;1;-;6
290370 BOA NOVA;-;-;-;-;-;-;-;-;-;-;1;1
290390 BOM JESUS DA LAPA;45;-;-;-;-;-;-;1;-;-;2;48
290395 BOM JESUS DA SERRA;1;-;-;-;-;-;-;-;-;-;-;1
290400 BONINAL;101;-;1;1;-;-;-;4;-;-;7;114
290405 BONITO;1;-;-;-;-;-;-;-;-;-;-;1
290410 BOQUIRA;3;-;-;-;1;-;1;1;-;-;5;11
290420 BOTUPORA;15;-;2;1;2;4;7;6;-;1;1;39
290430 BREJOES;2;-;-;-;-;-;-;3;2;-;1;8
290440 BREJOLANDIA;60;-;-;-;-;-;-;-;-;-;3;63
290450 BROTAS DE MACAUBAS;8;-;-;-;2;2;3;1;-;-;1;17
290460 BRUMADO;183;1;6;2;11;5;11;11;2;5;47;284
290470 BUERAREMA;5;-;1;-;1;1;-;3;-;2;1;14
290475 BURITIRAMA;13;1;-;1;20;-;11;28;1;5;7;87
290480 CAATIBA;44;1;6;10;2;6;7;22;1;1;4;104
290500 CACULE;42;-;4;-;8;3;2;5;-;2;7;73
290510 CAEM;1;-;3;-;-;1;2;3;-;1;-;11
290515 CAETANOS;13;-;2;-;1;-;1;4;-;1;4;26
290520 CAETITE;39;-;2;-;1;-;2;3;-;1;3;51
290530 CAFARNAUM;12;-;3;-;1;2;1;1;-;-;-;20
290550 CALDEIRAO GRANDE;198;-;1;-;-;2;1;1;1;1;16;221
290560 CAMACAN;4;-;5;-;2;-;2;1;2;1;3;20
290570 CAMACARI;447;1;6;8;24;4;22;40;2;12;189;755
290580 CAMAMU;3;-;-;-;1;2;-;3;-;-;-;9
290590 CAMPO ALEGRE DE LOURDES;5;6;19;16;21;8;12;19;4;2;33;145
290600 CAMPO FORMOSO;56;-;3;-;3;3;2;6;-;2;10;85
290610 CANAPOLIS;11;-;-;-;-;-;-;-;-;-;1;12
290620 CANARANA;41;-;2;1;3;1;3;10;-;3;4;68
290630 CANAVIEIRAS;58;10;17;8;41;12;21;35;7;18;24;251
290640 CANDEAL;-;-;1;-;-;-;-;1;-;-;-;2
290650 CANDEIAS;2;-;-;-;-;-;-;-;-;-;-;2
290660 CANDIBA;70;2;3;1;8;3;5;12;1;6;16;127
290670 CANDIDO SALES;268;1;6;-;4;-;3;6;2;-;14;304
290680 CANSANCAO;1;-;-;-;-;-;-;-;-;1;-;2
290682 CANUDOS;4;-;-;-;-;-;-;-;-;-;-;4
290685 CAPELA DO ALTO ALEGRE;15;-;4;1;4;-;-;5;-;2;2;33
290687 CAPIM GROSSO;5;-;-;-;2;-;-;3;-;-;-;10
290689 CARAIBAS;1;-;2;-;-;-;-;-;-;-;-;3
290690 CARAVELAS;1;-;-;-;-;-;-;1;-;-;1;3
290710 CARINHANHA;237;1;4;-;6;3;4;11;-;1;21;288
290720 CASA NOVA;249;-;14;6;9;4;10;34;1;4;36;367
290750 CATU;5;-;2;-;1;1;1;6;1;1;1;19
290755 CATURAMA;34;-;1;-;2;-;2;2;-;-;3;44
290760 CENTRAL;35;-;3;1;7;3;14;61;-;3;13;140
290770 CHORROCHO;362;-;-;-;-;-;-;-;1;-;43;406
290780 CICERO DANTAS;2;-;-;-;-;1;-;-;-;-;-;3
290800 COARACI;122;-;-;-;2;-;-;2;-;-;8;134
290810 COCOS;11;-;-;-;-;-;-;2;-;-;1;14
290830 CONCEICAO DO ALMEIDA;-;-;-;-;-;-;1;1;-;-;-;2
290840 CONCEICAO DO COITE;4;-;-;-;-;-;-;-;-;-;-;4
290850 CONCEICAO DO JACUIPE;1;1;1;1;1;-;1;10;-;-;3;19
290870 CONDEUBA;6;-;1;-;-;-;-;-;-;1;-;8
290880 CONTENDAS DO SINCORA;-;-;1;-;1;-;-;1;-;-;-;3
290900 CORDEIROS;20;1;-;1;1;3;-;1;-;-;4;31
290910 CORIBE;3;-;1;-;1;-;-;5;-;-;5;15
290920 CORONEL JOAO SA;169;-;1;-;2;-;-;-;-;-;32;204
290930 CORRENTINA;175;-;-;-;-;1;-;4;-;3;9;192
290940 COTEGIPE;15;-;1;5;7;2;6;3;-;-;8;47
290970 CRISTOPOLIS;28;-;2;-;7;3;1;2;-;2;5;50
290980 CRUZ DAS ALMAS;1;-;-;-;-;-;-;-;-;-;1;2
290990 CURACA;8;1;2;-;2;1;2;5;-;3;1;25
291000 DARIO MEIRA;-;-;1;-;-;-;-;-;-;-;-;1
291005 DIAS D'AVILA;4;-;-;-;-;-;-;3;1;2;-;10
291010 DOM BASILIO;1;-;-;-;-;1;1;1;-;2;-;6
291040 ENCRUZILHADA;6;-;1;-;2;-;1;1;-;1;-;12
291060 ESPLANADA;2;-;-;-;-;-;2;-;-;-;-;4
291070 EUCLIDES DA CUNHA;53;-;-;1;1;-;1;2;-;1;6;65
291072 EUNAPOLIS;357;7;3;6;17;16;10;31;-;4;88;539
291075 FATIMA;6;-;3;5;5;1;-;1;-;-;5;26
291077 FEIRA DA MATA;43;-;-;-;-;-;-;-;-;-;9;52
291080 FEIRA DE SANTANA;287;1;8;3;13;6;21;31;7;11;49;437
291085 FILADELFIA;-;-;-;1;-;1;1;4;-;2;-;9
291090 FIRMINO ALVES;20;-;1;-;-;3;-;-;-;-;3;27
291100 FLORESTA AZUL;117;10;47;32;90;18;41;49;7;17;53;481
291110 FORMOSA DO RIO PRETO;113;1;9;4;9;9;10;23;3;7;38;226
291120 GANDU;31;4;3;5;14;4;8;5;3;3;8;88
291125 GAVIAO;3;-;-;2;2;5;4;4;-;3;3;26
291130 GENTIO DO OURO;8;1;6;1;2;1;3;10;1;-;2;35
291140 GLORIA;2;-;1;-;-;-;-;1;-;-;2;6
291150 GONGOGI;11;-;1;1;4;1;1;2;-;1;4;26
291160 GOVERNADOR MANGABEIRA;-;-;-;-;-;-;-;1;-;-;1;2
291170 GUANAMBI;43;-;5;1;8;3;4;19;6;2;8;99
291180 GUARATINGA;3;-;-;-;1;-;-;1;-;-;-;5
291185 HELIOPOLIS;1;-;-;-;-;-;-;-;-;-;-;1
291190 IACU;1;-;-;-;-;-;-;1;-;-;-;2
291200 IBIASSUCE;4;-;1;-;1;-;-;-;-;-;1;7
291210 IBICARAI;5;2;7;2;15;7;10;9;2;2;11;72
291220 IBICOARA;48;1;-;2;2;3;5;15;-;4;2;82
291230 IBICUI;42;-;-;-;-;-;-;-;-;-;1;43
291240 IBIPEBA;1;-;-;-;-;-;-;-;-;-;-;1
291250 IBIPITANGA;21;2;5;2;7;2;1;12;-;2;6;60
291270 IBIRAPITANGA;-;-;2;1;-;-;-;-;-;-;-;3
291280 IBIRAPUA;-;-;1;-;1;-;-;2;-;-;-;4
291290 IBIRATAIA;-;-;1;-;1;-;-;2;-;-;-;4
291300 IBITIARA;1;-;-;-;-;-;-;-;-;-;-;1
291310 IBITITA;76;6;18;6;17;6;13;29;1;6;4;182
291320 IBOTIRAMA;27;-;-;-;-;-;-;1;-;1;3;32
291340 IGAPORA;1;-;-;-;-;-;2;-;-;-;-;3
291350 IGUAI;-;-;-;-;1;-;1;1;-;-;1;4
291360 ILHEUS;756;4;3;9;22;6;21;67;19;25;52;984
291370 INHAMBUPE;4;-;-;-;-;-;-;-;-;-;-;4
291390 IPIAU;12;-;2;-;3;-;1;4;1;2;11;36
291400 IPIRA;16;-;-;1;-;-;3;1;-;-;1;22
291410 IPUPIARA;131;-;-;-;-;-;-;-;-;-;6;137
291430 IRAMAIA;4;-;-;-;-;-;1;1;-;-;-;6
291440 IRAQUARA;19;-;3;3;1;-;7;18;-;3;3;57
291460 IRECE;69;4;28;16;37;26;52;1207;4;13;125;1581
291465 ITABELA;1;-;4;2;2;2;1;3;-;1;2;18
291470 ITABERABA;542;-;-;-;-;-;1;-;-;-;56;599
291480 ITABUNA;2071;-;4;2;8;1;7;41;2;3;388;2527
291490 ITACARE;51;-;-;-;1;1;-;6;1;2;6;68
291500 ITAETE;15;-;-;-;-;-;1;1;-;-;3;20
291510 ITAGI;3;-;-;-;2;-;1;2;-;-;-;8
291520 ITAGIBA;2;-;1;-;-;-;1;2;-;-;1;7
291530 ITAGIMIRIM;57;-;-;-;2;7;-;-;-;1;16;83
291535 ITAGUACU DA BAHIA;8;-;4;-;2;2;2;2;-;1;-;21
291540 ITAJU DO COLONIA;-;-;-;-;-;-;-;1;-;1;-;2
291550 ITAJUIPE;198;4;14;5;17;10;16;43;5;10;28;350
291560 ITAMARAJU;30;-;-;-;2;-;-;1;-;-;7;40
291570 ITAMARI;-;-;-;-;1;-;-;2;-;-;-;3
291580 ITAMBE;81;1;4;3;9;4;5;18;2;2;5;134
291590 ITANAGRA;-;-;-;2;-;-;-;-;-;-;-;2
291600 ITANHEM;1;-;-;3;1;-;3;1;-;-;1;10
291610 ITAPARICA;7;-;-;-;-;-;-;-;-;-;-;7
291620 ITAPE;30;-;3;-;1;1;3;-;-;2;5;45
291630 ITAPEBI;64;5;35;12;70;8;13;62;6;10;35;320
291640 ITAPETINGA;10;-;1;2;-;5;1;3;-;1;2;25
291650 ITAPICURU;2;-;1;-;-;1;-;-;-;-;-;4
291660 ITAPITANGA;2;-;1;2;-;1;-;5;-;1;-;12
291680 ITARANTIM;9;-;2;2;2;3;2;-;-;2;3;25
291685 ITATIM;2;-;1;-;-;-;-;2;-;-;1;6
291690 ITIRUCU;6;-;1;1;-;-;3;1;-;1;1;14
291700 ITIUBA;11;-;-;-;-;-;-;1;-;-;1;13
291710 ITORORO;125;-;1;-;2;1;-;3;-;3;17;152
291720 ITUACU;-;-;1;-;-;-;-;3;-;-;-;4
291730 ITUBERA;1;-;1;-;1;-;1;-;-;-;-;4
291733 IUIU;-;1;5;7;12;26;34;23;-;2;6;116
291735 JABORANDI;9;-;2;-;2;1;-;5;-;1;3;23
291740 JACARACI;5;-;-;-;-;-;-;1;-;3;-;9
291750 JACOBINA;463;2;7;5;10;6;11;31;5;2;96;638
291760 JAGUAQUARA;1;-;-;-;1;-;-;-;-;1;-;3
291770 JAGUARARI;11;1;1;2;5;5;3;21;1;1;7;58
291800 JEQUIE;38;1;3;1;5;4;6;11;1;4;23;97
291810 JEREMOABO;4;-;-;-;-;-;-;-;-;-;-;4
291820 JIQUIRICA;1;-;-;-;1;-;-;1;-;-;-;3
291835 JOAO DOURADO;27;-;-;-;-;-;-;-;-;1;-;28
291840 JUAZEIRO;572;-;22;12;33;25;48;123;14;29;65;943
291845 JUCURUCU;7;1;2;7;2;4;11;20;1;2;1;58
291850 JUSSARA;52;-;-;-;1;1;2;2;-;2;6;66
291855 JUSSARI;-;-;-;-;-;-;-;2;1;-;2;5
291875 LAGOA REAL;3;-;-;-;-;-;1;-;-;-;3;7
291890 LAJEDAO;13;-;1;1;-;1;2;2;1;2;3;26
291905 LAJEDO DO TABOCAL;-;-;1;-;-;-;-;-;-;-;-;1
291915 LAPAO;1;1;5;17;70;6;5;62;7;6;21;201
291920 LAURO DE FREITAS;24;-;1;-;2;1;-;3;-;-;12;43
291930 LENCOIS;4;-;-;-;-;-;1;1;-;-;-;6
291940 LICINIO DE ALMEIDA;36;-;5;-;2;2;1;9;1;1;3;60
291950 LIVRAMENTO DE NOSSA SENHORA;387;1;7;1;6;5;3;9;-;2;37;458
291955 LUIS EDUARDO MAGALHAES;643;1;53;8;89;3;82;158;9;22;264;1332
291960 MACAJUBA;99;12;47;21;67;29;40;60;3;10;25;413
291970 MACARANI;111;-;-;-;-;-;-;-;-;-;6;117
291980 MACAUBAS;32;-;-;-;-;-;-;-;-;-;4;36
291990 MACURURE;6;-;-;-;-;-;-;-;-;-;-;6
291992 MADRE DE DEUS;2;-;-;-;-;-;-;-;-;-;-;2
291995 MAETINGA;1;-;-;-;-;-;-;-;-;-;-;1
292000 MAIQUINIQUE;43;-;-;-;-;1;-;-;-;-;1;45
292010 MAIRI;9;-;-;-;1;-;1;2;-;1;-;14
292030 MALHADA DE PEDRAS;10;-;5;-;1;1;-;4;1;-;1;23
292040 MANOEL VITORINO;5;-;1;-;1;-;-;-;-;-;-;7
292050 MARACAS;112;1;13;5;65;26;13;21;-;3;17;276
292060 MARAGOGIPE;9;-;-;-;-;-;-;-;-;-;1;10
292070 MARAU;-;-;-;2;2;-;8;10;1;5;-;28
292080 MARCIONILIO SOUZA;-;1;-;-;1;-;1;-;-;-;1;4
292090 MASCOTE;6;3;2;1;3;3;5;2;1;1;7;34
292105 MATINA;8;-;-;1;-;-;-;1;-;-;1;11
292110 MEDEIROS NETO;6;-;5;14;5;4;5;7;1;1;5;53
292120 MIGUEL CALMON;1;-;-;-;-;-;-;1;-;-;-;2
292130 MILAGRES;-;-;-;-;-;-;1;-;-;-;-;1
292140 MIRANGABA;215;8;21;16;35;8;32;58;6;19;31;449
292145 MIRANTE;-;-;-;-;-;-;-;1;-;-;-;1
292160 MORPARA;3;-;-;-;-;-;-;1;-;-;2;6
292170 MORRO DO CHAPEU;103;1;4;2;11;2;6;4;-;5;7;145
292180 MORTUGABA;1;-;-;-;-;-;1;-;-;-;-;2
292200 MUCURI;25;1;5;4;5;4;4;15;1;5;2;71
292205 MULUNGU DO MORRO;9;-;-;-;-;-;1;-;-;-;-;10
292225 MUQUEM DE SAO FRANCISCO;5;1;-;1;1;-;-;4;-;-;1;13
292230 MURITIBA;4;-;-;-;-;-;-;-;1;2;1;8
292240 MUTUIPE;-;-;-;-;1;-;-;-;-;1;-;2
292270 NOVA CANAA;-;-;1;1;2;5;5;2;-;1;4;21
292273 NOVA FATIMA;36;-;2;-;-;1;-;1;1;1;6;48
292275 NOVA IBIA;5;-;-;-;-;-;-;-;-;-;-;5
292300 NOVA VICOSA;53;-;1;1;7;2;5;6;-;1;19;95
292303 NOVO HORIZONTE;1;-;-;1;1;-;-;2;-;-;2;7
292310 OLINDINA;2;-;-;-;-;-;-;-;-;-;-;2
292320 OLIVEIRA DOS BREJINHOS;375;1;5;3;3;3;4;11;1;1;26;433
292330 OURICANGAS;-;-;-;-;-;-;-;-;-;-;2;2
292335 OUROLANDIA;65;2;3;1;5;3;9;4;-;1;7;100
292340 PALMAS DE MONTE ALTO;9;-;1;-;-;1;3;-;-;-;1;15
292350 PALMEIRAS;1;-;-;-;-;-;-;2;1;1;1;6
292360 PARAMIRIM;22;-;3;2;3;2;3;10;1;5;3;54
292370 PARATINGA;1;-;-;2;-;-;-;-;-;-;-;3
292380 PARIPIRANGA;19;2;4;3;2;2;3;12;4;5;3;59
292390 PAU BRASIL;3;-;2;-;1;-;2;3;-;1;4;16
292400 PAULO AFONSO;31;-;-;1;1;2;7;9;2;3;5;61
292405 PE DE SERRA;-;1;-;-;1;-;-;-;-;-;-;2
292410 PEDRAO;10;-;-;-;-;-;-;-;-;-;-;10
292430 PIATA;18;2;12;2;5;2;4;7;-;2;1;55
292440 PILAO ARCADO;80;2;22;1;15;7;9;20;-;3;13;172
292450 PINDAI;97;-;-;-;-;-;-;1;-;1;8;107
292460 PINDOBACU;6;-;-;1;-;3;-;3;1;-;3;17
292465 PINTADAS;3;-;1;-;-;-;1;-;-;-;1;6
292470 PIRIPA;280;4;27;17;26;25;12;18;1;9;40;459
292480 PIRITIBA;2;-;-;-;-;-;-;-;-;-;-;2
292490 PLANALTINO;1;-;-;-;-;-;-;-;-;-;-;1
292500 PLANALTO;15;-;1;3;4;1;1;4;-;-;3;32
292510 POCOES;10;-;2;-;5;1;-;5;-;3;1;27
292520 POJUCA;8;-;-;-;1;-;2;5;-;-;2;18
292530 PORTO SEGURO;418;3;34;18;27;24;40;52;4;27;105;752
292540 POTIRAGUA;58;-;17;8;16;4;19;26;2;4;32;186
292550 PRADO;19;-;2;-;2;-;2;10;1;1;2;39
292560 PRESIDENTE DUTRA;9;-;-;-;-;-;-;1;1;-;3;14
292570 PRESIDENTE JANIO QUADROS;1;-;1;-;-;-;-;-;-;2;-;4
292575 PRESIDENTE TANCREDO NEVES;1;-;-;1;-;-;-;-;-;-;1;3
292590 QUIJINGUE;1;-;-;1;-;-;-;-;-;-;-;2
292593 QUIXABEIRA;-;-;-;-;-;-;-;1;-;-;-;1
292600 REMANSO;391;6;33;25;55;18;48;76;5;17;54;728
292610 RETIROLANDIA;-;-;-;-;-;-;-;1;-;-;-;1
292630 RIACHAO DO JACUIPE;11;-;2;-;2;-;1;-;-;-;7;23
292640 RIACHO DE SANTANA;52;-;-;-;-;-;1;1;-;1;4;59
292660 RIBEIRA DO POMBAL;4;-;-;-;-;1;-;2;-;1;3;11
292665 RIBEIRAO DO LARGO;-;-;1;-;1;1;-;-;-;-;-;3
292670 RIO DE CONTAS;-;-;-;-;-;-;-;-;1;-;-;1
292680 RIO DO ANTONIO;5;-;1;-;-;-;2;1;-;1;-;10
292690 RIO DO PIRES;8;-;-;2;2;-;1;3;-;-;2;18
292700 RIO REAL;31;2;2;3;7;4;6;9;2;2;6;74
292710 RODELAS;25;-;1;-;-;-;-;-;-;1;1;28
292720 RUY BARBOSA;178;5;12;4;18;2;12;21;1;2;16;271
292740 SALVADOR;1939;1;45;24;48;18;18;46;9;38;387;2573
292750 SANTA BARBARA;-;-;-;1;-;-;-;-;-;-;-;1
292760 SANTA BRIGIDA;-;-;-;-;-;1;-;-;-;1;1;3
292770 SANTA CRUZ CABRALIA;106;1;6;2;6;3;5;6;2;5;15;157
292780 SANTA CRUZ DA VITORIA;214;-;1;1;2;1;4;4;-;1;21;249
292800 SANTALUZ;3;-;1;-;1;1;-;4;-;1;1;12
292805 SANTA LUZIA;2;-;-;-;-;-;-;3;-;-;-;5
292810 SANTA MARIA DA VITORIA;659;-;9;15;13;40;25;59;2;3;67;892
292820 SANTANA;27;1;2;1;-;-;4;4;-;1;8;48
292840 SANTA RITA DE CASSIA;22;-;2;1;3;1;5;14;1;2;3;54
292850 SANTA TERESINHA;1;-;-;-;-;-;-;-;-;-;-;1
292870 SANTO ANTONIO DE JESUS;15;1;-;-;-;-;1;1;1;-;-;19
292880 SANTO ESTEVAO;46;-;-;-;-;1;-;-;-;1;4;52
292890 SAO DESIDERIO;30;-;1;1;2;3;6;12;-;5;5;65
292895 SAO DOMINGOS;1;-;-;-;-;1;-;1;1;-;2;6
292905 SAO FELIX DO CORIBE;20;-;-;-;-;1;1;1;-;1;3;27
292920 SAO FRANCISCO DO CONDE;-;-;-;-;-;-;1;2;1;-;-;4
292925 SAO GABRIEL;40;-;-;-;-;-;-;-;-;-;-;40
292930 SAO GONCALO DOS CAMPOS;3;-;-;-;-;-;-;1;-;-;-;4
292950 SAO SEBASTIAO DO PASSE;2;-;-;-;-;-;-;-;-;-;-;2
292960 SAPEACU;7;-;1;-;-;-;1;-;-;-;1;10
292970 SATIRO DIAS;17;-;-;-;-;-;-;-;-;-;2;19
292980 SAUDE;1;-;-;-;-;1;-;1;-;-;-;3
292990 SEABRA;29;-;4;4;5;1;9;22;3;3;2;82
293000 SEBASTIAO LARANJEIRAS;40;-;-;-;-;1;-;2;-;-;3;46
293010 SENHOR DO BONFIM;2;-;-;-;-;-;-;2;1;-;-;5
293015 SERRA DO RAMALHO;31;4;3;1;-;3;1;3;-;1;7;54
293020 SENTO SE;375;1;6;2;6;2;6;16;1;8;37;460
293030 SERRA DOURADA;12;-;-;-;-;-;-;-;-;-;-;12
293050 SERRINHA;5;-;-;-;1;-;-;-;-;-;2;8
293060 SERROLANDIA;3;1;6;2;2;-;-;3;-;3;9;29
293070 SIMOES FILHO;7;-;-;-;2;-;1;-;1;-;2;13
293075 SITIO DO MATO;73;-;2;3;3;3;1;10;1;3;3;102
293076 SITIO DO QUINTO;2;-;-;-;2;-;-;-;-;-;-;4
293077 SOBRADINHO;122;-;-;-;2;-;1;2;-;-;15;142
293080 SOUTO SOARES;20;-;2;-;3;3;1;13;-;3;2;47
293090 TABOCAS DO BREJO VELHO;70;-;-;-;-;-;-;-;-;-;3;73
293100 TANHACU;-;-;1;-;-;-;-;2;-;2;-;5
293110 TANQUINHO;1;-;-;-;-;-;-;-;-;-;-;1
293135 TEIXEIRA DE FREITAS;673;5;36;21;85;26;47;147;6;35;147;1228
293140 TEODORO SAMPAIO;-;-;-;-;-;-;-;-;-;1;-;1
293160 TEOLANDIA;9;3;1;2;4;4;2;4;1;2;-;32
293170 TERRA NOVA;1;-;-;-;-;-;-;-;-;-;-;1
293180 TREMEDAL;1;-;-;-;-;-;-;2;-;-;-;3
293190 TUCANO;13;-;2;2;3;-;-;1;-;-;-;21
293200 UAUA;78;6;20;7;33;5;23;60;1;10;13;256
293210 UBAIRA;21;-;-;-;-;-;-;1;-;-;7;29
293240 UIBAI;3;-;7;-;4;1;2;7;-;1;-;25
293245 UMBURANAS;22;1;5;1;3;3;4;5;2;2;4;52
293250 UNA;2;1;3;1;9;4;9;11;-;2;2;44
293260 URANDI;510;1;4;4;4;-;3;3;-;5;35;569
293270 URUCUCA;151;6;42;18;57;22;39;61;14;14;51;475
293280 UTINGA;1;-;-;-;-;3;1;1;-;-;-;6
293290 VALENCA;3;-;-;-;-;-;-;2;-;-;1;6
293300 VALENTE;2;-;1;1;1;-;-;1;1;-;2;9
293320 VERA CRUZ;6;-;-;-;-;-;1;-;-;-;-;7
293325 VEREDA;1;2;2;1;6;1;1;3;-;4;1;22
293330 VITORIA DA CONQUISTA;261;3;9;4;11;7;19;24;10;15;39;402
293340 WAGNER;1;-;-;-;-;-;-;-;-;-;-;1
293345 WANDERLEY;5;-;8;-;4;5;2;1;-;1;6;32
293350 WENCESLAU GUIMARAES;2;-;-;-;1;-;-;-;-;-;-;3
293360 XIQUE-XIQUE;2;-;1;-;-;-;1;3;-;2;2;11
310010 ABADIA DOS DOURADOS;12;-;6;4;6;-;2;7;-;5;2;44
310020 ABAETE;-;1;4;6;10;4;3;27;-;12;3;70
310030 ABRE CAMPO;1;-;-;-;-;-;-;-;-;-;-;1
310040 ACAIACA;-;-;2;-;1;-;-;1;-;-;1;5
310050 ACUCENA;6;-;-;-;-;-;-;1;-;1;-;8
310060 AGUA BOA;31;6;9;-;15;4;11;33;-;6;10;125
310070 AGUA COMPRIDA;4;-;4;1;3;1;2;4;-;1;2;22
310080 AGUANIL;1;-;1;-;1;-;2;1;-;-;-;6
310090 AGUAS FORMOSAS;2;-;-;-;3;-;2;2;-;2;1;12
310100 AGUAS VERMELHAS;4;-;1;-;-;-;-;-;-;-;-;5
310110 AIMORES;1;-;-;-;-;-;1;1;1;-;-;4
310150 ALEM PARAIBA;18;-;1;2;-;1;1;4;2;-;1;30
310160 ALFENAS;173;1;13;11;56;18;29;95;22;57;19;494
